Country,Continent,Total Case,Total Death,Total Test,Total Vaccination,People Vaccinated,People Fully Vaccinated,Population,Median Age,Life Expectancy,Aged Older 65,Aged Older 70,Cardiovasc Death Rate,Male Smokers,Female Smokers,Diabetes Prevalence,Hospital Beds Per Thousand,Human Development Index,Extreme Poverty,Population Density,Gdp Per Capita
Luxembourg,Europe,319959,1232,4299880,1286886,481957,462709,647601,39.7,82.3,14.3,9.8,128.3,26.0,20.9,4.4,4.5,0.9,0.2,231.4,94278.0
Tanzania,Africa,43078,846,,,34434933,32165791,65497752,17.7,65.5,3.1,1.9,217.3,26.7,3.3,5.8,0.7,0.5,49.1,64.7,2683.3
Isle of Man,Europe,38008,116,,93324,69560,67106,84534,,81.4,,,,,,,,,,147.9,
Niue,Oceania,817,0,,,1638,1635,1952,,73.7,,,,,,,,,,,
Djibouti,Africa,15690,189,1233,12179,372077,351712,1120851,25.4,67.1,4.2,2.4,258.0,24.5,1.7,6.1,1.4,0.5,22.5,41.3,2705.4
French Polynesia,Oceania,78590,649,,855,190908,186803,306292,32.7,77.7,7.8,4.6,,,,22.6,,,,77.3,
Guatemala,North America,1253322,20204,4067775,13495417,8933623,7126305,17843914,22.9,74.3,4.7,3.0,155.9,,,10.2,0.6,0.7,8.7,157.8,7423.8
Austria,Europe,6078070,22514,188768459,,6899735,6683091,8939617,44.4,81.5,19.2,13.7,145.2,30.9,28.4,6.4,7.4,0.9,0.7,106.7,45436.7
Portugal,Europe,5590050,26804,42825406,,9786029,8900824,10270857,46.2,82.1,21.5,14.9,127.8,30.0,16.3,9.9,3.4,0.9,0.5,112.4,27936.9
Thailand,Asia,4745078,34223,24733803,127294606,57005497,53486086,71697024,40.1,77.2,11.4,6.9,109.9,38.8,1.9,7.0,2.1,0.8,0.1,135.1,16277.7
Algeria,Africa,271841,6881,,170786,7840131,6481186,44903228,29.1,76.9,6.2,3.9,278.4,30.4,0.7,6.7,1.9,0.7,0.5,17.3,13913.8
European Union,,184304805,1234657,,941903004,338204347,328176718,450146793,,,,,,,,,,,,,
Martinique,North America,229975,1102,,,,,367512,45.7,82.5,,12.5,,,,,,,,,
Gambia,Africa,12626,372,,429,674314,539186,2705995,17.5,62.1,2.3,1.4,331.4,31.2,0.7,1.9,1.1,0.5,10.1,207.6,1561.8
Latvia,Europe,977891,6368,7263566,2895704,1346184,1305976,1850654,43.9,75.3,19.8,14.1,350.1,51.0,25.6,4.9,5.6,0.9,0.7,31.2,25063.8
United States Virgin Islands,North America,25129,131,115079,,,,99479,42.2,80.6,18.6,10.8,273.7,,,12.3,,,,306.5,
India,Asia,44992634,531884,838798638,2111987395,1027410359,951977546,1417173120,28.2,69.7,6.0,3.4,282.3,20.6,1.9,10.4,0.5,0.6,21.2,450.4,6426.7
Northern Cyprus,Asia,,,,1988,301673,313067,382836,,,,,,,,,,,,,
Congo,Africa,25196,389,,1486,695760,654119,5970430,19.0,64.6,3.4,2.1,344.1,52.3,1.7,7.2,,0.6,37.0,15.4,4881.4
Greenland,North America,11971,21,,43336,41227,38511,56494,,71.7,,,199.9,,,2.2,,,,0.1,
Vanuatu,Oceania,12019,14,,,176624,162250,326744,23.1,70.5,4.4,2.6,546.3,34.5,2.8,12.0,,0.6,13.2,22.7,2921.9
Israel,Asia,4826780,12540,51780014,18609926,6723119,6159825,9449000,30.6,83.0,11.7,7.4,93.3,35.4,15.4,6.7,3.0,0.9,0.5,402.6,33132.3
